"Theta [deg]","dB(GainPhi) [] - Freq='2.45GHz' Phi='0deg'","dB(GainPhi) [] - Freq='2.45GHz' Phi='90.0000000000002deg'","dB(GainTheta) [] - Freq='2.45GHz' Phi='0deg'","dB(GainTheta) [] - Freq='2.45GHz' Phi='90.0000000000002deg'"
-180,-inf,-inf,-inf,-inf
-178,-inf,-inf,-inf,-inf
-176,-inf,-inf,-inf,-inf
-174,-inf,-inf,-inf,-inf
-172,-inf,-inf,-inf,-inf
-170,-inf,-inf,-inf,-inf
-168,-inf,-inf,-inf,-inf
-166,-inf,-inf,-inf,-inf
-164,-inf,-inf,-inf,-inf
-162,-inf,-inf,-inf,-inf
-160,-inf,-inf,-inf,-inf
-158,-inf,-inf,-inf,-inf
-156,-inf,-inf,-inf,-inf
-154,-inf,-inf,-inf,-inf
-152,-inf,-inf,-inf,-inf
-150,-inf,-inf,-inf,-inf
-148,-inf,-inf,-inf,-inf
-146,-inf,-inf,-inf,-inf
-144,-inf,-inf,-inf,-inf
-142,-inf,-inf,-inf,-inf
-140,-inf,-inf,-inf,-inf
-138,-inf,-inf,-inf,-inf
-136,-inf,-inf,-inf,-inf
-134,-inf,-inf,-inf,-inf
-132,-inf,-inf,-inf,-inf
-130,-inf,-inf,-inf,-inf
-128,-inf,-inf,-inf,-inf
-126,-inf,-inf,-inf,-inf
-124,-inf,-inf,-inf,-inf
-122,-inf,-inf,-inf,-inf
-120,-inf,-inf,-inf,-inf
-118,-inf,-inf,-inf,-inf
-116,-inf,-inf,-inf,-inf
-114,-inf,-inf,-inf,-inf
-112,-inf,-inf,-inf,-inf
-110,-inf,-inf,-inf,-inf
-108,-inf,-inf,-inf,-inf
-106,-inf,-inf,-inf,-inf
-104,-inf,-inf,-inf,-inf
-102,-inf,-inf,-inf,-inf
-100,-inf,-inf,-inf,-inf
-98,-inf,-inf,-inf,-inf
-96,-inf,-inf,-inf,-inf
-94,-inf,-inf,-inf,-inf
-92,-inf,-inf,-inf,-inf
-90,-inf,-inf,-inf,-inf
-88,-37.7672947341412,-23.5030444705096,2.62749205004495,-22.9472146422607
-86,-31.7468021586632,-17.4812371434203,2.65126943583692,-22.8912380337654
-84,-28.225202196071,-13.9574535001968,2.69062270348501,-22.7949151434174
-82,-25.726839433356,-11.4560494278336,2.74514550377908,-22.654298050449
-80,-23.7893331010698,-9.51465986030468,2.81428298039528,-22.464988491282
-78,-22.2068044355355,-7.92742602356452,2.89734491674723,-22.2230997591318
-76,-20.8695112937659,-6.58462989945599,2.99352146142443,-21.9262192820654
-74,-19.7120274510225,-5.42087333921288,3.10190068990886,-21.5741644706326
-72,-18.6922306476134,-4.3940658949321,3.22148722934974,-21.1693530139488
-70,-17.7814370833614,-3.47555907050639,3.3512211958351,-20.716708999421
-68,-16.959262001856,-2.64500663860025,3.48999676160121,-20.2231605958793
-66,-16.2107249635742,-1.88746962857127,3.63667977141011,-19.6968914913551
-64,-15.5245168221517,-1.19168300655069,3.79012394991323,-19.1465427580268
-62,-14.8919099139447,-0.548965565446926,3.94918537252243,-18.5805246808708
-60,-14.3060443885028,0.0474940397492078,4.11273500009747,-18.0065240734086
-58,-13.7614446850922,0.603121098973459,4.27966919408351,-17.4312210923014
-56,-13.2536823088968,1.12229233672982,4.44891822786114,-16.8601830405959
-54,-12.7791347026104,1.60857728440204,4.61945288898536,-16.2978839943168
-52,-12.3348090592032,2.06491468752284,4.79028932500298,-15.7478001212794
-50,-11.9182111343071,2.4937438902729,4.96049232374834,-15.2125411244284
-48,-11.5272459417521,2.89710431715611,5.12917723973104,-14.6939909159718
-46,-11.1601414942929,3.27671189593354,5.29551078441843,-14.1934415678255
-44,-10.8153895043113,3.63401851543131,5.45871089308086,-13.7117125514695
-42,-10.4916987717851,3.97025880103782,5.61804586750787,-13.2492524213911
-40,-10.187958205149,4.28648727332048,5.77283297510335,-12.8062230643439
-38,-9.9032072549897,4.58360812095654,5.92243666297793,-12.3825681313748
-36,-9.63661212153714,4.86239923729364,6.06626652255279,-11.9780678562174
