"Theta [deg]","dB(RealizedGainPhi) [] - Freq='2.45GHz' Phi='0deg'","dB(RealizedGainPhi) [] - Freq='2.45GHz' Phi='90deg'","dB(RealizedGainTheta) [] - Freq='2.45GHz' Phi='0deg'","dB(RealizedGainTheta) [] - Freq='2.45GHz' Phi='90deg'"
-180,-inf,-inf,-inf,-inf
-178,-inf,-inf,-inf,-inf
-176,-inf,-inf,-inf,-inf
-174,-inf,-inf,-inf,-inf
-172,-inf,-inf,-inf,-inf
-170,-inf,-inf,-inf,-inf
-168,-inf,-inf,-inf,-inf
-166,-inf,-inf,-inf,-inf
-164,-inf,-inf,-inf,-inf
-162,-inf,-inf,-inf,-inf
-160,-inf,-inf,-inf,-inf
-158,-inf,-inf,-inf,-inf
-156,-inf,-inf,-inf,-inf
-154,-inf,-inf,-inf,-inf
-152,-inf,-inf,-inf,-inf
-150,-inf,-inf,-inf,-inf
-148,-inf,-inf,-inf,-inf
-146,-inf,-inf,-inf,-inf
-144,-inf,-inf,-inf,-inf
-142,-inf,-inf,-inf,-inf
-140,-inf,-inf,-inf,-inf
-138,-inf,-inf,-inf,-inf
-136,-inf,-inf,-inf,-inf
-134,-inf,-inf,-inf,-inf
-132,-inf,-inf,-inf,-inf
-130,-inf,-inf,-inf,-inf
-128,-inf,-inf,-inf,-inf
-126,-inf,-inf,-inf,-inf
-124,-inf,-inf,-inf,-inf
-122,-inf,-inf,-inf,-inf
-120,-inf,-inf,-inf,-inf
-118,-inf,-inf,-inf,-inf
-116,-inf,-inf,-inf,-inf
-114,-inf,-inf,-inf,-inf
-112,-inf,-inf,-inf,-inf
-110,-inf,-inf,-inf,-inf
-108,-inf,-inf,-inf,-inf
-106,-inf,-inf,-inf,-inf
-104,-inf,-inf,-inf,-inf
-102,-inf,-inf,-inf,-inf
-100,-inf,-inf,-inf,-inf
-98,-inf,-inf,-inf,-inf
-96,-inf,-inf,-inf,-inf
-94,-inf,-inf,-inf,-inf
-92,-inf,-inf,-inf,-inf
-90,-inf,-inf,-inf,-inf
-88,-45.6153745007631,-28.4795538142819,-1.58775197649909,-15.4859854066466
-86,-39.595595085741,-22.4579605181195,-1.56883214294374,-15.5071229367767
-84,-36.0751798242451,-18.9345208580113,-1.53749111114335,-15.5423914956782
-82,-33.5784676933744,-16.433572012892,-1.49401306710495,-15.5918484942807
-80,-31.6430705312478,-14.4927235026073,-1.43878831354042,-15.6555709648747
-78,-30.063100818064,-12.9060851823216,-1.37230603760827,-15.7336518855816
-76,-28.7288067734551,-11.5639026312399,-1.29514545830826,-15.8261949577521
-74,-27.5747521644054,-10.4007373388746,-1.20796565612009,-15.933307424158
-72,-26.5588048535846,-9.3744557254185,-1.11149442153172,-16.0550903785735
-70,-25.6522717515094,-8.45636466253455,-1.00651647644283,-16.1916258505197
-68,-24.8347597841414,-7.62607310372805,-0.893861422812448,-16.3429597463767
-66,-24.0912814513079,-6.86859839077782,-0.774391757263876,-16.5090794850115
-64,-23.410521975019,-6.17263421928165,-0.648991260648904,-16.6898848819349
-62,-22.7837495420125,-5.52946174447257,-0.518554030640142,-16.88515051926
-60,-22.2041015718622,-4.93223672885991,-0.383974376648906,-17.0944775157556
-58,-21.6661010283681,-4.3755067141642,-0.246137743338942,-17.3172323409353
-56,-21.1653189479568,-3.85487435219231,-0.105912775169056,-17.552470213967
-54,-20.6981330065419,-3.36675667523032,0.0358554172270973,-17.7988408963893
-52,-20.2615509997294,-2.90820914046415,0.178350775023904,-18.054475665
-50,-19.8530793248434,-2.4767944994105,0.320790620454986,-18.3168564539895
-48,-19.4706233768203,-2.0704833721296,0.462428857677442,-18.582672293355
-46,-19.1124110447733,-1.68757768805993,0.602558131453316,-18.8476750646903
-44,-18.7769332431196,-1.32665091148432,0.740511048350847,-19.1065568703065
-42,-18.4628972165821,-0.986500785418504,0.875660576908697,-19.3528846918065
-40,-18.1691895687519,-0.666111549188675,1.00741974903692,-19.5791421138154
-38,-17.8948467899696,-0.36462342226889,1.13524078580797,-19.7769367573885
-36,-17.6390316333918,-0.0813077308049264,1.2586137676917,-19.937425632235
